DB Class Key,Mouse_symbol,Human_symbol
41933993,Or7a37,OR7A10
41933993,Or7a37,OR7A5
41933994,Or1e26,OR1E1
41933994,Or1e26,OR1E2
41933994,Or1e26,OR1E3
41933995,Or7a36,OR7A10
41933995,Or7a36,OR7A5
41933995,Or7a36,OR7C1
41933996,Or7h8,
41933997,Or1e29,OR1E1
41933997,Or1e29,OR1E2
41933997,Or1e29,OR1E3
41933998,Or1n2,OR1N2
41933999,Or1e1c,OR1E2
41933999,Or1e1c,OR1E3
41934000,Or1s2,OR1S1
41934000,Or1s2,OR1S2
41934001,Or1ad1,
41934002,Or1e34,OR1E1
41934002,Or1e34,OR1E2
41934002,Or1e34,OR1E3
41934003,Or1e1,OR1E1
41934003,Or1e1,OR1E2
41934003,Or1e1,OR1E3
41934004,Or4c125,
41934005,Or4b1b,OR4B1
41934006,Or1e19,OR1E2
41934006,Or1e19,OR1E3
41934007,Or1e35,OR1E1
41934007,Or1e35,OR1E2
41934007,Or1e35,OR1E3
41934008,Or1e33,OR1E1
41934008,Or1e33,OR1E2
41934008,Or1e33,OR1E3
41934009,Or1e32,OR1E1
41934009,Or1e32,OR1E2
41934009,Or1e32,OR1E3
41934010,Or8b12i,
41934011,Or4s2b,OR4S2
41934012,Or1n1b,OR1N1
41934013,Or1e16,OR1E2
41934013,Or1e16,OR1E3
41934014,Or4a2,
41934015,Or1e22,OR1E1
41934015,Or1e22,OR1E2
41934015,Or1e22,OR1E3
41934016,Or1l4b,OR1L4
41934017,Or7e169,
41934018,Or1i2,OR1I1
41934019,Or2a7,OR2A4
41934019,Or2a7,OR2A7
41934020,Or1e1f,
41934021,Or1e31,OR1E1
41934021,Or1e31,OR1E2
41934021,Or1e31,OR1E3
41934022,Or4k15,OR4K15
41934023,Or7g12,OR7G3
41934024,Or4k6,
41934025,Or1j4,OR1J4
41934026,Or1e30,OR1E1
41934026,Or1e30,OR1E2
41934026,Or1e30,OR1E3
41934027,Or2a20,OR2A1
41934027,Or2a20,OR2A42
41934028,Or7g19,OR7G3
41934029,Or7a41,OR7A17
41934029,Or7a41,OR7A2P
41934029,Or7a41,OR7A5
41934030,Or1m1,OR1M1
41934031,Or4k35,
41934032,Or4k15c,OR4K15
41934033,Or4b1d,OR4B1
41934034,Or2a51,OR2A1
41934034,Or2a51,OR2A42
41934035,Or10b1,OR10R2
41934035,Or10b1,OR10T2
41934036,Or4k15b,OR4K15
41934037,Or1l4,OR1L4
41934037,Or1l4,OR1L6
41934038,Or2a57,OR2A1
41934038,Or2a57,OR2A42
41934039,Or1e17,OR1E1
41934039,Or1e17,OR1E2
41934039,Or1e17,OR1E3
41934040,Or1e25,OR1E1
41934040,Or1e25,OR1E2
41934040,Or1e25,OR1E3
41934041,Or1q1,OR1Q1
41934042,Or7c19,
41934043,Or1f12,OR1F12P
41934044,Or1ad8,
41934045,Or1e23,OR1E1
41934045,Or1e23,OR1E2
41934045,Or1e23,OR1E3
41934046,Or7g27,OR7G1
41934046,Or7g27,OR7G2
41934047,Or1ab2,
41934048,Or4f56,
41934049,Cdh11,CDH11
41934050,Pla2g4a,PLA2G4A
41934051,Scn8a,SCN8A
41934052,Pes1,PES1
41934053,Hoxb8,HOXB8
41934054,Urod,UROD
41934055,Axin1,AXIN1
41934056,Gfap,GFAP
41934057,Tal1,TAL1
41934058,Nr4a2,NR4A2
41934059,Dnajc3,DNAJC3
41934060,Anxa13,ANXA13
41934061,Nfya,NFYA
41934062,Sox11,SOX11
41934063,Aanat,AANAT
41934064,Efnb2,EFNB2
41934065,Meis3,MEIS3
41934065,Meis3,MEIS3P1
41934065,Meis3,MEIS3P2
41934066,Tfe3,TFE3
41934067,Smo,SMO
41934068,Klf2,KLF2
41934069,Cebpb,CEBPB
41934070,Ube4b,UBE4B
41934071,Lhx1,LHX1
41934072,Serpinh1,SERPINH1
41934073,Hsp90ab1,HSP90AB1
41934073,Hsp90ab1,HSP90AB2P
41934073,Hsp90ab1,HSP90AB3P
41934073,Hsp90ab1,HSP90AB4P
41934074,Srf,SRF
41934075,Rxrb,RXRB
41934076,Ednrb,EDNRB
41934077,Stx1b,STX1B
41934078,Myb,MYB
41934079,Hoxb9,HOXB9
41934080,Inhba,INHBA
41934081,Lima1,LIMA1
41934082,Cts8,
41934083,Ctsll3,
41934084,Cts6,
41934085,Cts7,
41934086,Ctsr,
41934087,Ctsj,
41934088,Ctsm,
41934089,Ctsl,CTSL
41934089,Ctsl,CTSV
41934090,Ctsq,
41934091,BC051665,
41934092,4930486L24Rik,
41934093,Cts3,
41934094,Copz2,COPZ2
41934095,Gdf7,GDF7
41934096,Neurod2,NEUROD2
41934097,Wif1,WIF1
41934098,Prph2,PRPH2
41934099,Tpm3,TPM3
41934100,Tpm1,TPM1
41934101,Efnb1,EFNB1
41934102,Angpt1,ANGPT1
41934103,Prkci,PRKCI
41934104,mt-Co2,COX2
41934104,mt-Co2,MTCO2P12
41934105,Cyp1a2,CYP1A2
41934106,Cyp1a1,CYP1A1
